CO_CURSO;IES_NOME;CONCEITO;PERCENTUAL_PROFICIENTES
1261972;UNIVERSIDADE FEDERAL DE MATO GROSSO;4;0.897
12;UNIVERSIDADE FEDERAL DE MATO GROSSO;4;0.853
140;UNIVERSIDADE DE BRASÍLIA;4;0.879
1108153;UNIVERSIDADE FEDERAL DE SERGIPE;5;0.949
303;UNIVERSIDADE FEDERAL DE SERGIPE;5;0.936
389;UNIVERSIDADE FEDERAL DO AMAZONAS;3;0.626
1342610;UNIVERSIDADE FEDERAL DO PIAUÍ;4;0.762
484;UNIVERSIDADE FEDERAL DO PIAUÍ;4;0.857
103596;UNIVERSIDADE FEDERAL DE OURO PRETO;5;0.913
90091;UNIVERSIDADE FEDERAL DE SÃO CARLOS;5;1
1068548;UNIVERSIDADE FEDERAL DE VIÇOSA;5;0.98
758;UNIVERSIDADE ESTADUAL DE LONDRINA;4;0.854
1059179;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;3;0.703
868;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;4;0.892
1200712;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;3;0.72
1026;UNIVERSIDADE FEDERAL DO RIO GRANDE;4;0.841
1107;UNIVERSIDADE DE CAXIAS DO SUL;4;0.79
1397773;UNIVERSIDADE DO VALE DO RIO DOS SINOS;3;0.681
1439;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;5;0.903
1518;UNIVERSIDADE CATÓLICA DE PELOTAS;3;0.699
1629;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;4;0.798
1725;UNIVERSIDADE DE PASSO FUNDO;4;0.838
1879;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;5;0.937
1399487;UNIVERSIDADE FEEVALE;3;0.735
49910;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;5;0.923
66248;UNIVERSIDADE ESTADUAL DO CEARÁ;5;0.932
64918;UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO;3;0.694
2304;UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO;3;0.655
2348;UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL;4;0.765
2392;UNIVERSIDADE DO ESTADO DO PARÁ;4;0.84
1272168;UNIVERSIDADE DO ESTADO DO PARÁ;5;0.917
101228;UNIVERSIDADE DO ESTADO DO PARÁ;3;0.651
1187646;UNIVERSIDADE DO ESTADO DA BAHIA;4;0.781
1458090;UNIVERSIDADE ESTADUAL DE GOIÁS;4;0.889
2695;UNIVERSIDADE ESTADUAL DE CAMPINAS;5;0.958
1404416;UNIVERSIDADE DE SÃO PAULO;5;0.909
2918;UNIVERSIDADE DE SÃO PAULO;5;0.988
5000841;UNIVERSIDADE DE SÃO PAULO;5;0.979
3148;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;5;0.921
3418;UNIVERSIDADE ESTADUAL DE MARINGÁ;5;0.9
1314146;CENTRO UNIVERSITÁRIO MUNICIPAL DE FRANCA;5;0.955
1453564;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS;2;0.448
72417;UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE;4;0.803
3677;UNIVERSIDADE REGIONAL DE BLUMENAU;3;0.61
1385521;CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ;4;0.82
20058;UNIVERSIDADE DA REGIÃO DE JOINVILLE;3;0.732
69624;UNIVERSIDADE DO OESTE DE SANTA CATARINA;4;0.831
19434;UNIVERSIDADE DO VALE DO ITAJAÍ;4;0.853
5001450;CENTRO UNIVERSITÁRIO DE BRUSQUE;3;0.716
4082;FACULDADE DE MEDICINA DE JUNDIAÍ;5;0.966
120983;UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI;4;0.818
1216474;UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI;4;0.875
87941;UNIVERSIDADE DE ARARAQUARA;3;0.632
19850;CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ;4;0.896
4503;UNIVERSIDADE DE VASSOURAS;3;0.736
20360;UNIVERSIDADE DE UBERABA;4;0.77
4720;FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO;5;0.951
18594;UNIVERSIDADE ESTÁCIO DE SÁ;3;0.649
1399482;UNIVERSIDADE ESTÁCIO DE SÁ;1;0.213
5001183;UNIVERSIDADE ESTÁCIO DE SÁ;3;0.683
5345;FACULDADE SOUZA MARQUES;4;0.764
1455021;UNIVERSIDADE SÃO JUDAS TADEU;3;0.6
1427419;UNIVERSIDADE DE RIBEIRÃO PRETO;2;0.406
18447;UNIVERSIDADE DE RIBEIRÃO PRETO;4;0.857
1295813;CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO - FAE;3;0.631
5000978;CENTRO UNIVERSITÁRIO DE VOTUPORANGA;4;0.831
5909;Centro Universitário FMABC;4;0.898
5920;CENTRO UNIVERSITÁRIO LUSÍADA;3;0.693
1408262;UNIVERSIDADE DO OESTE PAULISTA;4;0.773
1408261;UNIVERSIDADE DO OESTE PAULISTA;3;0.644
6496;UNIVERSIDADE DO OESTE PAULISTA;4;0.764
6711;Afya Faculdade de Medicina de Itajubá;3;0.721
91399;UNIVERSIDADE DE SANTA CRUZ DO SUL;3;0.651
7105;FACULDADE DE MEDICINA DE BARBACENA;2;0.589
65924;CENTRO UNIVERSITÁRIO PRESIDENTE ANTÔNIO CARLOS;1;0.302
1399478;UNIVERSIDADE NOVE DE JULHO;3;0.656
1397772;UNIVERSIDADE NOVE DE JULHO;3;0.69
1390317;UNIVERSIDADE NOVE DE JULHO;2;0.552
82224;UNIVERSIDADE NOVE DE JULHO;3;0.713
1397771;UNIVERSIDADE NOVE DE JULHO;2;0.558
1399479;UNIVERSIDADE NOVE DE JULHO;3;0.705
65114;UNIVERSIDADE BRASIL;1;0.359
7414;UNIVERSIDADE IGUAÇU;2;0.405
19294;UNIVERSIDADE IGUAÇU;2;0.493
1399488;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;4;0.759
1399489;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;3;0.695
1108281;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;3;0.61
100688;CENTRO UNIVERSITÁRIO DE BELO HORIZONTE;3;0.613
7676;FACULDADE DE CIÊNCIAS MÉDICAS DE MINAS GERAIS;4;0.783
1190667;CENTRO UNIVERSITÁRIO DE JOÃO PESSOA;2;0.569
7705;FACULDADE EVANGÉLICA MACKENZIE DO PARANÁ;4;0.894
7837;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;5;0.917
74655;UNIVERSIDADE SANTO AMARO;2;0.487
108884;Universidade Evangélica de Goiás;4;0.841
5000979;UNIVERSIDADE SALVADOR;3;0.623
1483768;UNIVERSIDADE TIRADENTES;4;0.826
5000001;UNIVERSIDADE TIRADENTES;3;0.662
1135207;CENTRO UNIVERSITÁRIO DE BRASÍLIA;4;0.81
48854;UNIVERSIDADE CATÓLICA DE BRASÍLIA;4;0.786
1276878;UNIVERSIDADE DE PERNAMBUCO;5;0.913
8437;UNIVERSIDADE DE PERNAMBUCO;4;0.891
1183958;UNIVERSIDADE DE PERNAMBUCO;5;0.972
8554;FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA SÃO PAULO;5;0.975
57402;UNIVERSIDADE CIDADE DE SÃO PAULO;2;0.579
8698;UNIVERSIDADE DE MARÍLIA;2;0.472
1399485;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;4;0.778
1183313;UNIVERSIDADE FRANCISCANA;3;0.725
8960;FACULDADE DE MEDICINA DE MARÍLIA;5;0.959
1136509;FACULDADE SANTA MARCELINA;2;0.578
1399481;UNIVERSIDADE PARANAENSE;2;0.489
1399287;UNIVERSIDADE DO CONTESTADO;1;0.349
9326;UNIVERSIDADE LUTERANA DO BRASIL;2;0.594
1399477;UNIVERSIDADE ANHEMBI MORUMBI;2;0.522
100956;UNIVERSIDADE ANHEMBI MORUMBI;2;0.458
1408259;UNIVERSIDADE ANHEMBI MORUMBI;2;0.536
75821;Afya Universidade Unigranrio;2;0.562
18605;Afya Universidade Unigranrio;2;0.435
9772;FACULDADE DE MEDICINA DE PETRÓPOLIS;3;0.704
9805;CENTRO UNIVERSITÁRIO SERRA DOS ÓRGÃOS;2;0.474
38071;UNIVERSIDADE DO EXTREMO SUL CATARINENSE;4;0.786
9988;CENTRO UNIVERSITÁRIO DE VOLTA REDONDA;2;0.521
9996;CENTRO UNIVERSITÁRIO DE VALENÇA;3;0.664
20249;UNIVERSIDADE DO SUL DE SANTA CATARINA;3;0.647
97679;UNIVERSIDADE DO SUL DE SANTA CATARINA;3;0.624
5000933;UNIVERSIDADE DE FRANCA;4;0.886
10224;ESCOLA SUPERIOR DE CIÊNCIAS DA SANTA CASA DE MISERICÓRDIA DE VITÓRIA;4;0.807
10289;FACULDADE DE MEDICINA DE CAMPOS;2;0.574
1102360;UNIVERSIDADE VALE DO RIO DOCE;2;0.52
10591;UNIVERSIDADE DE MOGI DAS CRUZES;1;0.333
84408;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS;3;0.657
1457503;UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL;3;0.745
